audiofile,sg_dur,vv_num,sg_dur_norm,order
SP2010_AliceM_041_merged,480,2,7.58,1
SP2010_AliceM_041_merged,1040,4,12.04,2
SP2010_AliceM_041_merged,1260,5,12.14,3
SP2010_AliceM_041_merged,700,4,1.29,4
SP2010_AliceM_045_merged,620,2,11.67,1
SP2010_AliceM_045_merged,720,4,10.22,2
SP2010_AliceM_045_merged,2160,9,24.79,3
SP2010_AliceM_045_merged,360,4,-1.62,4
SP2010_AliceM_045_merged,740,6,0.44,5
SP2010_AliceM_045_merged,690,4,2.00,6
SP2010_AliceM_062_merged,290,1,2.89,1
SP2010_AliceM_062_merged,2730,11,85.12,2
SP2010_AliceM_094_merged,280,1,12.08,1
SP2010_AliceM_094_merged,1790,5,21.40,2
SP2010_AliceM_100_merged,970,2,55.38,1
SP2010_AliceM_100_merged,1000,6,1.84,2
SP2010_AliceM_100_merged,1090,7,10.00,3
SP2010_AliceM_100_merged,1550,8,19.44,4
SP2010_AliceM_100_merged,770,5,2.09,5
SP2010_AliceM_104_merged,550,1,24.37,1
SP2010_AliceM_104_merged,3280,15,121.21,2
SP2010_AliceM_104_merged,300,3,1.54,3
SP2010_AliceM_109_merged,2450,2,63.76,1
SP2010_AliceM_109_merged,650,6,0.60,2
SP2010_AliceM_109_merged,840,5,2.87,3
SP2010_AliceM_113_merged,210,4,-3.00,1
SP2010_AliceM_113_merged,370,4,-1.13,2
SP2010_AliceM_113_merged,1410,8,61.53,3
SP2010_AliceM_113_merged,1660,4,69.11,4
SP2010_AliceM_113_merged,570,6,7.05,5
SP2010_AliceM_115_merged,320,1,6.49,1
SP2010_AliceM_115_merged,620,3,3.29,2
SP2010_AliceM_115_merged,410,2,5.52,3
SP2010_AliceM_115_merged,470,3,4.15,4
SP2010_AliceM_115_merged,540,7,-1.80,5
SP2010_AliceM_115_merged,990,8,5.44,6
SP2010_AliceM_120_merged,440,3,-0.67,1
SP2010_AliceM_120_merged,1040,6,12.58,2
SP2010_AliceM_120_merged,600,6,0.49,3
SP2010_AliceM_120_merged,320,4,-1.26,4
SP2010_AliceM_120_merged,1120,6,18.06,5
SP2010_AliceM_120_merged,1190,9,3.88,6
